G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
42,2024-01-15,,,Box Score,,Indiana Pacers,W,,132,105,22,20,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
43,2024-01-18,,,Box Score,,Oklahoma City Thunder,L,,129,134,22,21,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
44,2024-01-20,,,Box Score,@,Houston Rockets,L,OT,126,127,22,22,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
45,2024-01-23,,,Box Score,@,New Orleans Pelicans,L,,124,153,22,23,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
46,2024-01-25,,,Box Score,@,Washington Wizards,W,,123,108,23,23,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
47,2024-01-27,,,Box Score,@,Charlotte Hornets,W,,134,122,24,23,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
48,2024-01-29,,,Box Score,@,Brooklyn Nets,L,,114,147,24,24,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
49,2024-01-30,,,Box Score,@,New York Knicks,L,,103,118,24,25,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
50,2024-02-01,,,Box Score,,Philadelphia 76ers,L,,124,127,24,26,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
51,2024-02-04,,,Box Score,,Milwaukee Bucks,W,,123,108,25,26,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
52,2024-02-06,,,Box Score,,Oklahoma City Thunder,W,,124,117,26,26,J. Collins · K. Dunn · S. Fontecchio · L. Markkanen · C. Sexton
53,2024-02-08,,,Box Score,@,Phoenix Suns,L,,115,129,26,27,J. Collins · K. Dunn · W. Kessler · L. Markkanen · C. Sexton
54,2024-02-12,,,Box Score,,Golden State Warriors,L,,107,129,26,28,J. Collins · K. George · W. Kessler · L. Markkanen · C. Sexton
55,2024-02-14,,,Box Score,,Los Angeles Lakers,L,,122,138,26,29,J. Collins · K. George · W. Kessler · L. Markkanen · C. Sexton
56,2024-02-15,,,Box Score,,Golden State Warriors,L,,137,140,26,30,J. Collins · K. George · W. Kessler · L. Markkanen · C. Sexton
57,2024-02-22,,,Box Score,,Charlotte Hornets,L,,107,115,26,31,J. Collins · K. George · T. Hendricks · L. Markkanen · C. Sexton
58,2024-02-25,,,Box Score,,San Antonio Spurs,W,,128,109,27,31,J. Collins · K. George · T. Hendricks · L. Markkanen · C. Sexton
59,2024-02-27,,,Box Score,@,Atlanta Hawks,L,,97,124,27,32,J. Collins · K. George · T. Hendricks · L. Markkanen · C. Sexton
60,2024-02-29,,,Box Score,@,Orlando Magic,L,,107,115,27,33,J. Collins · K. George · T. Hendricks · L. Markkanen · C. Sexton
61,2024-03-02,,,Box Score,@,Miami Heat,L,,120,126,27,34,J. Collins · K. George · T. Hendricks · L. Markkanen · C. Sexton
62,2024-03-04,,,Box Score,,Washington Wizards,W,,127,115,28,34,J. Collins · K. George · T. Hendricks · L. Šamanić · C. Sexton
63,2024-03-06,,,Box Score,,Chicago Bulls,L,,117,119,28,35,J. Collins · K. Dunn · L. Šamanić · B. Sensabaugh · C. Sexton
64,2024-03-09,,,Box Score,@,Denver Nuggets,L,,121,142,28,36,J. Collins · K. George · W. Kessler · B. Sensabaugh · C. Sexton
65,2024-03-12,,,Box Score,,Boston Celtics,L,,107,123,28,37,J. Collins · K. George · L. Šamanić · B. Sensabaugh · C. Sexton
66,2024-03-15,,,Box Score,,Atlanta Hawks,W,,124,122,29,37,J. Collins · K. George · T. Hendricks · B. Sensabaugh · C. Sexton
67,2024-03-16,,,Box Score,,Minnesota Timberwolves,L,,100,119,29,38,K. Dunn · K. George · T. Hendricks · W. Kessler · B. Sensabaugh
68,2024-03-18,,,Box Score,,Minnesota Timberwolves,L,,104,114,29,39,J. Collins · K. Dunn · K. George · T. Hendricks · L. Markkanen
69,2024-03-20,,,Box Score,@,Oklahoma City Thunder,L,,107,119,29,40,J. Collins · K. Dunn · K. George · T. Hendricks · B. Sensabaugh
70,2024-03-21,,,Box Score,@,Dallas Mavericks,L,,97,113,29,41,K. Dunn · K. George · T. Hendricks · W. Kessler · L. Markkanen
71,2024-03-23,,,Box Score,@,Houston Rockets,L,,119,147,29,42,J. Collins · K. George · T. Hendricks · J. Juzang · C. Sexton
72,2024-03-25,,,Box Score,,Dallas Mavericks,L,,105,115,29,43,J. Collins · K. George · T. Hendricks · L. Markkanen · C. Sexton
73,2024-03-27,,,Box Score,,San Antonio Spurs,L,,111,118,29,44,J. Collins · K. George · T. Hendricks · L. Markkanen · C. Sexton
74,2024-03-29,,,Box Score,,Houston Rockets,L,,100,101,29,45,J. Collins · K. George · T. Hendricks · B. Sensabaugh · C. Sexton
75,2024-03-31,,,Box Score,@,Sacramento Kings,L,,106,127,29,46,K. George · T. Hendricks · W. Kessler · B. Sensabaugh · C. Sexton
76,2024-04-02,,,Box Score,,Cleveland Cavaliers,L,,113,129,29,47,K. George · T. Hendricks · W. Kessler · B. Sensabaugh · C. Sexton
77,2024-04-05,,,Box Score,@,Los Angeles Clippers,L,,102,131,29,48,K. George · T. Hendricks · B. Sensabaugh · C. Sexton · O. Yurtseven
78,2024-04-07,,,Box Score,@,Golden State Warriors,L,,110,118,29,49,K. George · T. Hendricks · B. Sensabaugh · C. Sexton · O. Yurtseven
79,2024-04-09,,,Box Score,,Denver Nuggets,L,,95,111,29,50,K. George · T. Hendricks · J. Juzang · L. Šamanić · O. Yurtseven
80,2024-04-11,,,Box Score,,Houston Rockets,W,,124,121,30,50,K. George · T. Hendricks · J. Juzang · L. Šamanić · O. Yurtseven
81,2024-04-12,,,Box Score,@,Los Angeles Clippers,W,,110,109,31,50,K. George · T. Hendricks · J. Juzang · L. Šamanić · O. Yurtseven
82,2024-04-14,,,Box Score,@,Golden State Warriors,L,,116,123,31,51,K. George · T. Hendricks · J. Juzang · L. Šamanić · O. Yurtseven
