G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
39,2024-01-13,,,Box Score,@,Oklahoma City Thunder,L,,100,112,21,18,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
40,2024-01-15,,,Box Score,@,New York Knicks,W,,98,94,22,18,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
41,2024-01-17,,,Box Score,@,Atlanta Hawks,L,,104,106,22,19,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
42,2024-01-19,,,Box Score,,Philadelphia 76ers,L,,109,124,22,20,P. Banchero · G. Bitadze · C. Houstan · C. Okeke · J. Suggs
43,2024-01-21,,,Box Score,,Miami Heat,W,,105,87,23,20,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
44,2024-01-22,,,Box Score,,Cleveland Cavaliers,L,,99,126,23,21,P. Banchero · A. Black · W. Carter · J. Suggs · F. Wagner
45,2024-01-26,,,Box Score,@,Memphis Grizzlies,L,,106,107,23,22,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
46,2024-01-28,,,Box Score,,Phoenix Suns,W,,113,98,24,22,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
47,2024-01-29,,,Box Score,@,Dallas Mavericks,L,,129,131,24,23,P. Banchero · W. Carter · J. Isaac · J. Suggs · F. Wagner
48,2024-01-31,,,Box Score,@,San Antonio Spurs,W,,108,98,25,23,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
49,2024-02-02,,,Box Score,@,Minnesota Timberwolves,W,,108,106,26,23,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
50,2024-02-04,,,Box Score,@,Detroit Pistons,W,,111,99,27,23,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
51,2024-02-06,,,Box Score,@,Miami Heat,L,,95,121,27,24,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
52,2024-02-08,,,Box Score,,San Antonio Spurs,W,,127,111,28,24,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
53,2024-02-10,,,Box Score,,Chicago Bulls,W,OT,114,108,29,24,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
54,2024-02-13,,,Box Score,,Oklahoma City Thunder,L,,113,127,29,25,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
55,2024-02-14,,,Box Score,,New York Knicks,W,,118,100,30,25,P. Banchero · A. Black · W. Carter · C. Houstan · F. Wagner
56,2024-02-22,,,Box Score,@,Cleveland Cavaliers,W,,116,109,31,25,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
57,2024-02-24,,,Box Score,@,Detroit Pistons,W,,112,109,32,25,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
58,2024-02-25,,,Box Score,@,Atlanta Hawks,L,,92,109,32,26,G. Bitadze · A. Black · W. Carter · J. Suggs · F. Wagner
59,2024-02-27,,,Box Score,,Brooklyn Nets,W,,108,81,33,26,W. Carter · G. Harris · C. Houstan · J. Suggs · F. Wagner
60,2024-02-29,,,Box Score,,Utah Jazz,W,,115,107,34,26,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
61,2024-03-03,,,Box Score,,Detroit Pistons,W,,113,91,35,26,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
