G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
42,2024-01-16,,,Box Score,@,Philadelphia 76ers,L,,121,126,28,14,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
43,2024-01-19,,,Box Score,@,Boston Celtics,W,,102,100,29,14,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
44,2024-01-21,,,Box Score,@,Washington Wizards,W,,113,104,30,14,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
45,2024-01-23,,,Box Score,@,Indiana Pacers,W,,114,109,31,14,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
46,2024-01-25,,,Box Score,@,New York Knicks,L,,84,122,31,15,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
47,2024-01-27,,,Box Score,,Philadelphia 76ers,W,,111,105,32,15,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
48,2024-01-29,,,Box Score,,Milwaukee Bucks,W,,113,107,33,15,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
49,2024-01-31,,,Box Score,@,Oklahoma City Thunder,L,,100,105,33,16,K. Caldwell-Pope · A. Gordon · J. Murray · M. Porter · P. Watson
50,2024-02-02,,,Box Score,,Portland Trail Blazers,W,,120,108,34,16,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
51,2024-02-04,,,Box Score,,Portland Trail Blazers,W,,112,103,35,16,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
52,2024-02-08,,,Box Score,@,Los Angeles Lakers,W,,114,106,36,16,A. Gordon · J. Holiday · N. Jokić · J. Murray · M. Porter
53,2024-02-09,,,Box Score,@,Sacramento Kings,L,,106,135,36,17,A. Gordon · J. Holiday · N. Jokić · J. Murray · P. Watson
54,2024-02-12,,,Box Score,@,Milwaukee Bucks,L,,95,112,36,18,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
55,2024-02-14,,,Box Score,,Sacramento Kings,L,,98,102,36,19,A. Gordon · J. Holiday · R. Jackson · N. Jokić · M. Porter
56,2024-02-22,,,Box Score,,Washington Wizards,W,,130,110,37,19,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
57,2024-02-23,,,Box Score,@,Portland Trail Blazers,W,,127,112,38,19,K. Caldwell-Pope · A. Gordon · R. Jackson · N. Jokić · M. Porter
58,2024-02-25,,,Box Score,@,Golden State Warriors,W,,119,103,39,19,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
59,2024-02-28,,,Box Score,,Sacramento Kings,W,,117,96,40,19,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
