Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Apr 1 2021,7:00p,Philadelphia 76ers,114,Cleveland Cavaliers,94,Box Score,,4100,2:05,Rocket Mortgage Fieldhouse,
Thu Apr 1 2021,7:00p,Washington Wizards,91,Detroit Pistons,120,Box Score,,750,2:09,Little Caesars Arena,
Thu Apr 1 2021,7:30p,Charlotte Hornets,89,Brooklyn Nets,111,Box Score,,1773,1:59,Barclays Center,
Thu Apr 1 2021,8:00p,Golden State Warriors,109,Miami Heat,116,Box Score,,0,2:22,AmericanAirlines Arena,
Thu Apr 1 2021,8:00p,Orlando Magic,115,New Orleans Pelicans,110,Box Score,OT,3700,2:30,Smoothie King Center,
Thu Apr 1 2021,8:30p,Atlanta Hawks,134,San Antonio Spurs,129,Box Score,2OT,2949,2:47,AT&T Center,
Thu Apr 1 2021,10:00p,Denver Nuggets,101,Los Angeles Clippers,94,Box Score,,0,2:16,STAPLES Center,
Fri Apr 2 2021,7:00p,Golden State Warriors,77,Toronto Raptors,130,Box Score,,3085,2:11,Amalie Arena,
Fri Apr 2 2021,7:30p,Houston Rockets,102,Boston Celtics,118,Box Score,,0,2:03,TD Garden,
Fri Apr 2 2021,7:30p,Dallas Mavericks,99,New York Knicks,86,Box Score,,1981,1:59,Madison Square Garden (IV),
Fri Apr 2 2021,8:00p,Charlotte Hornets,114,Indiana Pacers,97,Box Score,,0,2:08,Bankers Life Fieldhouse,
Fri Apr 2 2021,8:00p,Minnesota Timberwolves,108,Memphis Grizzlies,120,Box Score,,2987,2:06,FedEx Forum,
Fri Apr 2 2021,9:00p,Atlanta Hawks,126,New Orleans Pelicans,103,Box Score,,3700,2:14,Smoothie King Center,
Fri Apr 2 2021,9:00p,Chicago Bulls,106,Utah Jazz,113,Box Score,,5546,2:17,Vivint Smart Home Arena,
Fri Apr 2 2021,10:00p,Oklahoma City Thunder,103,Phoenix Suns,140,Box Score,,3422,2:01,Phoenix Suns Arena,
Fri Apr 2 2021,10:00p,Milwaukee Bucks,127,Portland Trail Blazers,109,Box Score,,0,2:11,Moda Center,
Fri Apr 2 2021,10:00p,Los Angeles Lakers,115,Sacramento Kings,94,Box Score,,0,2:08,Golden 1 Center,
Sat Apr 3 2021,7:00p,Dallas Mavericks,109,Washington Wizards,87,Box Score,,0,2:10,Capital One Arena,
