Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Feb 6 2021,10:00p,Detroit Pistons,129,Los Angeles Lakers,135,Box Score,2OT,0,2:51,STAPLES Center,
Sun Feb 7 2021,1:00p,Washington Wizards,97,Charlotte Hornets,119,Box Score,,0,2:19,Spectrum Center,
Sun Feb 7 2021,1:00p,Utah Jazz,103,Indiana Pacers,95,Box Score,,0,2:11,Bankers Life Fieldhouse,
Sun Feb 7 2021,1:00p,Miami Heat,109,New York Knicks,103,Box Score,,0,2:13,Madison Square Garden (IV),
Sun Feb 7 2021,2:00p,Boston Celtics,91,Phoenix Suns,100,Box Score,,1493,2:00,Phoenix Suns Arena,
Sun Feb 7 2021,3:00p,Sacramento Kings,113,Los Angeles Clippers,110,Box Score,,0,2:06,STAPLES Center,
Mon Feb 8 2021,7:00p,Houston Rockets,94,Charlotte Hornets,119,Box Score,,0,2:11,Spectrum Center,
Mon Feb 8 2021,8:00p,Washington Wizards,105,Chicago Bulls,101,Box Score,,0,2:21,United Center,
Mon Feb 8 2021,8:00p,Toronto Raptors,128,Memphis Grizzlies,113,Box Score,,1844,2:22,FedEx Forum,
Mon Feb 8 2021,8:30p,Minnesota Timberwolves,122,Dallas Mavericks,127,Box Score,,1000,2:25,American Airlines Center,
Mon Feb 8 2021,8:30p,Golden State Warriors,100,San Antonio Spurs,105,Box Score,,0,2:17,AT&T Center,
Mon Feb 8 2021,9:00p,Cleveland Cavaliers,113,Phoenix Suns,119,Box Score,,1485,2:13,Phoenix Suns Arena,
Mon Feb 8 2021,9:30p,Milwaukee Bucks,125,Denver Nuggets,112,Box Score,,0,2:05,Ball Arena,
Mon Feb 8 2021,10:00p,Oklahoma City Thunder,112,Los Angeles Lakers,119,Box Score,OT,0,2:32,STAPLES Center,
Tue Feb 9 2021,7:00p,Brooklyn Nets,111,Detroit Pistons,122,Box Score,,0,2:06,Little Caesars Arena,
Tue Feb 9 2021,7:30p,New York Knicks,96,Miami Heat,98,Box Score,,0,2:24,AmericanAirlines Arena,
Tue Feb 9 2021,7:30p,Houston Rockets,101,New Orleans Pelicans,130,Box Score,,1900,2:21,Smoothie King Center,
Tue Feb 9 2021,8:30p,Golden State Warriors,114,San Antonio Spurs,91,Box Score,,0,2:11,AT&T Center,
Tue Feb 9 2021,10:00p,Orlando Magic,97,Portland Trail Blazers,106,Box Score,,0,2:05,Moda Center,
Tue Feb 9 2021,10:00p,Philadelphia 76ers,119,Sacramento Kings,111,Box Score,,0,2:21,Golden 1 Center,
Tue Feb 9 2021,10:00p,Boston Celtics,108,Utah Jazz,122,Box Score,,3902,2:26,Vivint Smart Home Arena,
Wed Feb 10 2021,7:00p,Toronto Raptors,137,Washington Wizards,115,Box Score,,0,2:08,Capital One Arena,
Wed Feb 10 2021,7:30p,Atlanta Hawks,117,Dallas Mavericks,118,Box Score,,1000,2:22,American Airlines Center,
Wed Feb 10 2021,8:00p,Indiana Pacers,94,Brooklyn Nets,104,Box Score,,0,2:08,Barclays Center,
Wed Feb 10 2021,8:00p,Charlotte Hornets,114,Memphis Grizzlies,130,Box Score,,1830,2:09,FedEx Forum,
Wed Feb 10 2021,8:00p,Los Angeles Clippers,119,Minnesota Timberwolves,112,Box Score,,0,2:22,Target Center,
Wed Feb 10 2021,9:00p,New Orleans Pelicans,116,Chicago Bulls,129,Box Score,,0,2:05,United Center,
Wed Feb 10 2021,9:00p,Cleveland Cavaliers,95,Denver Nuggets,133,Box Score,,0,2:03,Ball Arena,
Wed Feb 10 2021,10:00p,Oklahoma City Thunder,113,Los Angeles Lakers,114,Box Score,OT,0,2:35,STAPLES Center,
Wed Feb 10 2021,10:00p,Milwaukee Bucks,124,Phoenix Suns,125,Box Score,,1491,2:22,Phoenix Suns Arena,
Thu Feb 11 2021,7:30p,Toronto Raptors,106,Boston Celtics,120,Box Score,,0,2:12,TD Garden,
Thu Feb 11 2021,7:30p,Miami Heat,101,Houston Rockets,94,Box Score,,3251,2:16,Toyota Center,
Thu Feb 11 2021,8:00p,Indiana Pacers,111,Detroit Pistons,95,Box Score,,0,2:00,Little Caesars Arena,
Thu Feb 11 2021,10:00p,Orlando Magic,105,Golden State Warriors,111,Box Score,,0,2:07,Chase Center,
Thu Feb 11 2021,10:00p,Philadelphia 76ers,114,Portland Trail Blazers,118,Box Score,,0,2:28,Moda Center,
Fri Feb 12 2021,7:00p,Minnesota Timberwolves,114,Charlotte Hornets,120,Box Score,,0,2:12,Spectrum Center,
Fri Feb 12 2021,7:00p,New York Knicks,109,Washington Wizards,91,Box Score,,0,2:13,Capital One Arena,
Fri Feb 12 2021,7:30p,San Antonio Spurs,125,Atlanta Hawks,114,Box Score,,1451,2:10,State Farm Arena,
Fri Feb 12 2021,7:30p,New Orleans Pelicans,130,Dallas Mavericks,143,Box Score,,1514,2:17,American Airlines Center,
Fri Feb 12 2021,8:00p,Detroit Pistons,108,Boston Celtics,102,Box Score,,0,2:24,TD Garden,
Fri Feb 12 2021,8:00p,Los Angeles Clippers,125,Chicago Bulls,106,Box Score,,0,1:58,United Center,
Fri Feb 12 2021,9:00p,Oklahoma City Thunder,95,Denver Nuggets,97,Box Score,,0,2:07,Ball Arena,
Fri Feb 12 2021,9:00p,Milwaukee Bucks,115,Utah Jazz,129,Box Score,,3902,2:22,Vivint Smart Home Arena,
