Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu May 6 2021,8:00p,Atlanta Hawks,126,Indiana Pacers,133,Box Score,,0,2:09,Bankers Life Fieldhouse,
Thu May 6 2021,10:00p,Oklahoma City Thunder,97,Golden State Warriors,118,Box Score,,3621,2:06,Chase Center,
Thu May 6 2021,10:00p,Los Angeles Lakers,94,Los Angeles Clippers,118,Box Score,,3275,2:21,STAPLES Center,
Fri May 7 2021,7:00p,New Orleans Pelicans,107,Philadelphia 76ers,109,Box Score,,5119,2:15,Wells Fargo Center,
Fri May 7 2021,7:30p,Boston Celtics,99,Chicago Bulls,121,Box Score,,3399,2:11,United Center,
Fri May 7 2021,8:00p,Orlando Magic,112,Charlotte Hornets,122,Box Score,,3751,2:22,Spectrum Center,
Fri May 7 2021,8:00p,Minnesota Timberwolves,112,Miami Heat,121,Box Score,,0,2:27,AmericanAirlines Arena,
Fri May 7 2021,8:00p,Houston Rockets,133,Milwaukee Bucks,141,Box Score,,3280,2:07,Fiserv Forum,
Fri May 7 2021,8:30p,Cleveland Cavaliers,90,Dallas Mavericks,110,Box Score,,4220,2:06,American Airlines Center,
Fri May 7 2021,9:00p,Denver Nuggets,120,Utah Jazz,127,Box Score,,6506,2:13,Vivint Smart Home Arena,
Fri May 7 2021,10:00p,New York Knicks,105,Phoenix Suns,128,Box Score,,8063,2:16,Phoenix Suns Arena,
Fri May 7 2021,10:00p,Los Angeles Lakers,101,Portland Trail Blazers,106,Box Score,,0,2:23,Moda Center,
Fri May 7 2021,10:00p,San Antonio Spurs,113,Sacramento Kings,104,Box Score,,0,2:10,Golden 1 Center,
Sat May 8 2021,7:00p,Washington Wizards,133,Indiana Pacers,132,Box Score,OT,0,2:33,Bankers Life Fieldhouse,
Sat May 8 2021,7:00p,Detroit Pistons,104,Philadelphia 76ers,118,Box Score,,5119,2:05,Wells Fargo Center,
Sat May 8 2021,7:30p,Memphis Grizzlies,109,Toronto Raptors,99,Box Score,,0,2:12,Amalie Arena,
Sat May 8 2021,10:00p,Brooklyn Nets,125,Denver Nuggets,119,Box Score,,4044,2:17,Ball Arena,
Sat May 8 2021,10:00p,Oklahoma City Thunder,97,Golden State Warriors,136,Box Score,,4155,2:00,Chase Center,
Sat May 8 2021,10:00p,San Antonio Spurs,102,Portland Trail Blazers,124,Box Score,,1939,2:07,Moda Center,
Sat May 8 2021,10:00p,Houston Rockets,116,Utah Jazz,124,Box Score,,6506,2:04,Vivint Smart Home Arena,
Sun May 9 2021,1:00p,Miami Heat,130,Boston Celtics,124,Box Score,,2298,2:23,TD Garden,
Sun May 9 2021,3:30p,New York Knicks,106,Los Angeles Clippers,100,Box Score,,2578,2:06,STAPLES Center,
Sun May 9 2021,7:00p,New Orleans Pelicans,112,Charlotte Hornets,110,Box Score,,4196,2:18,Spectrum Center,
Sun May 9 2021,7:00p,Dallas Mavericks,124,Cleveland Cavaliers,97,Box Score,,4148,2:10,Rocket Mortgage Fieldhouse,
Sun May 9 2021,7:00p,Minnesota Timberwolves,128,Orlando Magic,96,Box Score,,4086,2:13,Amway Center,
