Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Jan 7 2021,8:00p,Cleveland Cavaliers,94,Memphis Grizzlies,90,Box Score,,0,2:04,FedEx Forum,
Thu Jan 7 2021,10:00p,Dallas Mavericks,124,Denver Nuggets,117,Box Score,OT,0,2:37,Ball Arena,
Thu Jan 7 2021,10:00p,San Antonio Spurs,118,Los Angeles Lakers,109,Box Score,,0,2:11,STAPLES Center,
Thu Jan 7 2021,10:00p,Minnesota Timberwolves,117,Portland Trail Blazers,135,Box Score,,0,2:09,Moda Center,
Fri Jan 8 2021,7:00p,Phoenix Suns,105,Detroit Pistons,110,Box Score,OT,0,2:35,Little Caesars Arena,
Fri Jan 8 2021,7:30p,Washington Wizards,107,Boston Celtics,116,Box Score,,0,2:13,TD Garden,
Fri Jan 8 2021,7:30p,Charlotte Hornets,118,New Orleans Pelicans,110,Box Score,,750,2:20,Smoothie King Center,
Fri Jan 8 2021,7:30p,Oklahoma City Thunder,101,New York Knicks,89,Box Score,,0,2:05,Madison Square Garden (IV),
Fri Jan 8 2021,8:00p,Orlando Magic,90,Houston Rockets,132,Box Score,,3039,1:56,Toyota Center,
Fri Jan 8 2021,8:00p,Brooklyn Nets,110,Memphis Grizzlies,115,Box Score,,0,2:13,FedEx Forum,
Fri Jan 8 2021,8:00p,Utah Jazz,131,Milwaukee Bucks,118,Box Score,,0,2:06,Fiserv Forum,
Fri Jan 8 2021,10:00p,Los Angeles Clippers,105,Golden State Warriors,115,Box Score,,0,2:17,Chase Center,
Fri Jan 8 2021,10:00p,Chicago Bulls,115,Los Angeles Lakers,117,Box Score,,0,2:17,STAPLES Center,
Fri Jan 8 2021,10:00p,Toronto Raptors,144,Sacramento Kings,123,Box Score,,0,2:06,Golden 1 Center,
Sat Jan 9 2021,3:00p,Denver Nuggets,115,Philadelphia 76ers,103,Box Score,,0,2:05,Wells Fargo Center,
Sat Jan 9 2021,7:00p,Atlanta Hawks,105,Charlotte Hornets,113,Box Score,,0,2:10,Spectrum Center,
Sat Jan 9 2021,7:00p,Phoenix Suns,125,Indiana Pacers,117,Box Score,,0,2:07,Bankers Life Fieldhouse,
Sat Jan 9 2021,7:00p,Miami Heat,128,Washington Wizards,124,Box Score,,0,2:15,Capital One Arena,
Sat Jan 9 2021,8:00p,Cleveland Cavaliers,90,Milwaukee Bucks,100,Box Score,,0,2:09,Fiserv Forum,
Sat Jan 9 2021,8:00p,San Antonio Spurs,125,Minnesota Timberwolves,122,Box Score,OT,0,2:28,Target Center,
Sat Jan 9 2021,8:30p,Orlando Magic,98,Dallas Mavericks,112,Box Score,,0,2:07,American Airlines Center,
Sat Jan 9 2021,10:00p,Portland Trail Blazers,125,Sacramento Kings,99,Box Score,,0,2:12,Golden 1 Center,
Sun Jan 10 2021,3:00p,Utah Jazz,96,Detroit Pistons,86,Box Score,,0,2:14,Little Caesars Arena,
Sun Jan 10 2021,4:00p,Chicago Bulls,127,Los Angeles Clippers,130,Box Score,,0,2:20,STAPLES Center,
Sun Jan 10 2021,6:00p,Oklahoma City Thunder,129,Brooklyn Nets,116,Box Score,,0,2:07,Barclays Center,
Sun Jan 10 2021,6:00p,Denver Nuggets,114,New York Knicks,89,Box Score,,0,2:05,Madison Square Garden (IV),
Sun Jan 10 2021,7:00p,Los Angeles Lakers,120,Houston Rockets,102,Box Score,,3327,2:29,Toyota Center,
Sun Jan 10 2021,8:00p,San Antonio Spurs,88,Minnesota Timberwolves,96,Box Score,,0,2:11,Target Center,
Sun Jan 10 2021,8:30p,Toronto Raptors,105,Golden State Warriors,106,Box Score,,0,2:22,Chase Center,
Mon Jan 11 2021,7:00p,New York Knicks,88,Charlotte Hornets,109,Box Score,,0,2:10,Spectrum Center,
Mon Jan 11 2021,7:00p,Memphis Grizzlies,101,Cleveland Cavaliers,91,Box Score,,1944,2:19,Rocket Mortgage Fieldhouse,
