Month,Day,Away,Away_Pts,Home,Home_Pts,Game_Outcome
Oct,19,BRK,104,MIL,127,Home
Oct,19,GSW,121,LAL,114,Away
Oct,20,IND,122,CHO,123,Home
Oct,20,CHI,94,DET,88,Away
Oct,20,BOS,134,NYK,138,Home
Oct,20,WAS,98,TOR,83,Away
Oct,20,CLE,121,MEM,132,Home
Oct,20,HOU,106,MIN,124,Home
Oct,20,PHI,117,NOP,97,Away
Oct,20,ORL,97,SAS,123,Home
Oct,20,OKC,86,UTA,107,Home
Oct,20,SAC,124,POR,121,Away
Oct,20,DEN,110,PHO,98,Away
Oct,21,DAL,87,ATL,113,Home
Oct,21,MIL,95,MIA,137,Home
Oct,21,LAC,113,GSW,115,Home
Oct,22,NYK,121,ORL,96,Away
Oct,22,IND,134,WAS,135,Home
Oct,22,CHO,123,CLE,112,Away
Oct,22,TOR,115,BOS,83,Away
Oct,22,BRK,114,PHI,109,Away
Oct,22,OKC,91,HOU,124,Home
Oct,22,NOP,112,CHI,128,Home
Oct,22,SAS,96,DEN,102,Home
Oct,22,PHO,115,LAL,105,Away
Oct,22,UTA,110,SAC,101,Away
Oct,23,ATL,95,CLE,101,Home
Oct,23,MIA,91,IND,102,Home
Oct,23,DAL,103,TOR,95,Away
Oct,23,DET,82,CHI,97,Home
Oct,23,NOP,89,MIN,96,Home
Oct,23,MIL,121,SAS,111,Away
Oct,23,PHO,105,POR,134,Home
Oct,23,MEM,120,LAC,114,Away
Oct,24,CHO,111,BRK,95,Away
Oct,24,BOS,107,HOU,97,Away
Oct,24,ORL,110,NYK,104,Away
Oct,24,PHI,115,OKC,103,Away
Oct,24,GSW,119,SAC,107,Away
Oct,24,MEM,118,LAL,121,Home
Oct,25,BOS,140,CHO,129,Away
Oct,25,MIL,119,IND,109,Away
Oct,25,CHI,111,TOR,108,Away
Oct,25,ORL,90,MIA,107,Home
Oct,25,WAS,90,BRK,104,Home
Oct,25,DET,104,ATL,122,Home
Oct,25,NOP,107,MIN,98,Away
Oct,25,CLE,99,DEN,87,Away
Oct,25,POR,86,LAC,116,Home
Oct,26,PHI,99,NYK,112,Home
Oct,26,GSW,106,OKC,98,Away
Oct,26,LAL,125,SAS,121,Away
Oct,26,HOU,106,DAL,116,Home
Oct,26,DEN,110,UTA,122,Home
Oct,27,CHO,120,ORL,111,Away
Oct,27,WAS,116,BOS,107,Away
Oct,27,MIA,106,BRK,93,Away
Oct,27,IND,100,TOR,118,Home
Oct,27,ATL,102,NOP,99,Away
Oct,27,MIN,113,MIL,108,Away
Oct,27,LAL,115,OKC,123,Home
Oct,27,SAC,110,PHO,107,Away
Oct,27,MEM,96,POR,116,Home
Oct,27,CLE,92,LAC,79,Away
Oct,28,ATL,111,WAS,122,Home
Oct,28,DET,102,PHI,110,Home
Oct,28,UTA,122,HOU,91,Away
Oct,28,NYK,104,CHI,103,Away
Oct,28,SAS,99,DAL,104,Home
Oct,28,MEM,104,GSW,101,Away
Oct,29,ORL,109,TOR,110,Home
Oct,29,CHO,99,MIA,114,Home
Oct,29,IND,98,BRK,105,Home
Oct,29,SAC,113,NOP,109,Away
Oct,29,DAL,75,DEN,106,Home
Oct,29,LAC,92,POR,111,Home
Oct,29,CLE,101,LAL,113,Home
Oct,30,BOS,112,WAS,115,Home
Oct,30,ORL,103,DET,110,Home
Oct,30,NYK,123,NOP,117,Away
Oct,30,TOR,97,IND,94,Away
Oct,30,ATL,94,PHI,122,Home
Oct,30,UTA,99,CHI,107,Home
Oct,30,MIA,129,MEM,103,Away
Oct,30,SAS,102,MIL,93,Away
Oct,30,OKC,82,GSW,103,Home
Oct,30,DEN,93,MIN,91,Away
Oct,30,CLE,92,PHO,101,Home
Oct,31,SAC,99,DAL,105,Home
Oct,31,POR,113,CHO,125,Home
Oct,31,UTA,107,MIL,95,Away
Oct,31,DET,91,BRK,117,Home
Oct,31,HOU,85,LAL,95,Home
Nov,1,CLE,113,CHO,110,Away
