Month,Day,Away,Away_Pts,Home,Home_Pts,Game_Outcome
Oct,18,PHI,117,BOS,126,Home
Oct,18,LAL,109,GSW,123,Home
Oct,19,ORL,109,DET,113,Home
Oct,19,WAS,114,IND,107,Away
Oct,19,HOU,107,ATL,117,Home
Oct,19,NOP,130,BRK,108,Away
Oct,19,NYK,112,MEM,115,Home
Oct,19,CHI,116,MIA,108,Away
Oct,19,CLE,105,TOR,108,Home
Oct,19,OKC,108,MIN,115,Home
Oct,19,CHO,129,SAS,102,Away
Oct,19,DEN,102,UTA,123,Home
Oct,19,DAL,105,PHO,107,Home
Oct,19,POR,115,SAC,108,Away
Oct,20,MIL,90,PHI,88,Away
Oct,20,LAC,103,LAL,97,Away
Oct,21,NOP,124,CHO,112,Away
Oct,21,SAS,137,IND,134,Away
Oct,21,CHI,100,WAS,102,Home
Oct,21,ORL,98,ATL,108,Home
Oct,21,TOR,105,BRK,109,Home
Oct,21,BOS,111,MIA,104,Away
Oct,21,DET,106,NYK,130,Home
Oct,21,MEM,129,HOU,122,Away
Oct,21,UTA,132,MIN,126,Away
Oct,21,DEN,128,GSW,123,Away
Oct,21,PHO,111,POR,113,Home
Oct,22,SAS,114,PHI,105,Away
Oct,22,DET,115,IND,124,Home
Oct,22,BOS,126,ORL,120,Away
Oct,22,CLE,128,CHI,96,Away
Oct,22,TOR,109,MIA,112,Home
Oct,22,HOU,105,MIL,125,Home
Oct,22,MEM,96,DAL,137,Home
Oct,22,OKC,117,DEN,122,Home
Oct,22,LAC,111,SAC,109,Away
Oct,23,POR,106,LAL,104,Away
Oct,23,CHO,126,ATL,109,Away
Oct,23,WAS,107,CLE,117,Home
Oct,23,UTA,122,NOP,121,Away
Oct,23,MIN,116,OKC,106,Away
Oct,23,SAC,125,GSW,130,Home
Oct,23,PHO,112,LAC,95,Away
Oct,24,IND,106,PHI,120,Home
Oct,24,TOR,98,MIA,90,Away
Oct,24,ORL,102,NYK,115,Home
Oct,24,BOS,102,CHI,120,Home
Oct,24,UTA,108,HOU,114,Home
Oct,24,BRK,124,MEM,134,Home
Oct,24,SAS,115,MIN,106,Away
Oct,24,DEN,110,POR,135,Home
Oct,25,DET,99,WAS,120,Home
Oct,25,DAL,111,NOP,113,Home
Oct,25,LAC,94,OKC,108,Home
Oct,25,GSW,105,PHO,134,Home
Oct,26,ORL,92,CLE,103,Home
Oct,26,ATL,118,DET,113,Away
Oct,26,BRK,99,MIL,110,Home
Oct,26,CHO,131,NYK,134,Home
Oct,26,PHI,109,TOR,119,Home
Oct,26,IND,109,CHI,124,Home
Oct,26,SAS,122,MIN,134,Home
Oct,26,HOU,101,UTA,109,Home
Oct,26,LAL,99,DEN,110,Home
Oct,26,MIA,119,POR,98,Away
Oct,27,DAL,129,BRK,125,Away
Oct,27,LAC,110,OKC,118,Home
